Country,happiness_score,gdp_per_capita,family,health,freedom,continent,Year,cpi_score
Norway,7.537000179,1.616463184,1.53352356,0.796666503,0.635422587,Europe,2015,88
Norway,7.522,1.459,1.33095,0.88521,0.66973,Europe,2016,85
Norway,7.554,1.488,0,1.028,0.603,Europe,2017,85
Norway,7.594,1.456,0,0.861,0.686,Europe,2018,84
Norway,7.498,1.57744,1.1269,0.79579,0.59609,Europe,2019,84
Norway,7.487999916,1.42420733,0,1.008071899,0.670200884,Europe,2020,84
Canada,7.315999985,1.479204416,1.481348991,0.834557652,0.611100912,North America,2015,83
Canada,7.427,1.32629,1.32261,0.90563,0.63297,North America,2016,82
Canada,7.278,1.365,0,1.039,0.584,North America,2017,82
Canada,7.328,1.33,0,0.896,0.653,North America,2018,81
Canada,7.404,1.44015,1.0961,0.8276,0.5737,North America,2019,77
Canada,7.23210001,1.301647663,0,1.022501945,0.644028127,North America,2020,77
United States,6.993000031,1.546259284,1.419920564,0.774286628,0.505740523,North America,2015,76
United States,7.119,1.39451,1.24711,0.86179,0.54604,North America,2016,74
United States,6.892,1.433,0,0.874,0.454,North America,2017,75
United States,6.886,1.398,0,0.819,0.547,North America,2018,71
United States,7.104,1.50796,1.04782,0.779,0.48163,North America,2019,69
United States,6.939599991,1.37398684,0,0.831618011,0.534608245,North America,2020,67
Germany,6.951000214,1.487923384,1.472520351,0.798950732,0.562511384,Europe,2015,81
Germany,6.75,1.32792,1.29937,0.89186,0.61477,Europe,2016,81
Germany,6.985,1.373,0,0.987,0.495,Europe,2017,81
Germany,6.965,1.34,0,0.861,0.586,Europe,2018,80
Germany,6.994,1.44787,1.09774,0.81487,0.53466,Europe,2019,80
Germany,7.075799942,1.314184546,0,0.972114801,0.564274132,Europe,2020,80
United Kingdom,6.714000225,1.44163394,1.49646008,0.805335939,0.508190036,Europe,2015,81
United Kingdom,6.867,1.26637,1.28548,0.90943,0.59625,Europe,2016,81
United Kingdom,7.054,1.333,0,0.996,0.45,Europe,2017,82
United Kingdom,7.19,1.244,0,0.888,0.464,Europe,2018,80
United Kingdom,7.16,1.25784,0,0.9757,0.489,Europe,2019,79
United Kingdom,7.164500237,1.273061037,0,0.97570008,0.525168657,Europe,2020,77
Australia,7.28399992,1.484414935,1.510041952,0.843886793,0.601607382,Australia,2015,79
Australia,7.284,1.33358,1.30923,0.93156,0.65124,Australia,2016,79
Australia,7.228,1.372,0,1.036,0.557,Australia,2017,77
Australia,7.272,1.34,0,0.91,0.647,Australia,2018,77
Australia,7.313,1.44443,1.10476,0.8512,0.56837,Australia,2019,77
Australia,7.222799778,1.310396433,0,1.022607684,0.621877193,Australia,2020,77
Singapore,6.572000027,1.69227767,1.353814363,0.949492395,0.549840569,Asia,2015,85
Singapore,6.798,1.52186,1.02,1.02525,0.54252,Asia,2016,84
Singapore,6.262,1.572,0,1.141,0.556,Asia,2017,84
Singapore,6.343,1.529,0,1.008,0.631,Asia,2018,85
Singapore,6.739,1.64555,0.86758,0.94719,0.4877,Asia,2019,85
Singapore,6.377099991,1.519580126,0,1.137814283,0.635317206,Asia,2020,85
Saudi Arabia,6.343999863,1.530623555,1.286677599,0.59014833,0.449750572,Asia,2015,52
Saudi Arabia,6.411,1.39541,1.08393,0.72025,0.31048,Asia,2016,46
Saudi Arabia,6.375,1.403,0,0.795,0.439,Asia,2017,49
Saudi Arabia,6.371,1.379,0,0.633,0.509,Asia,2018,49
Saudi Arabia,6.379,1.48953,0.84829,0.59267,0.37904,Asia,2019,53
Saudi Arabia,6.406499863,1.334328532,0,0.759818137,0.548477471,Asia,2020,53
Spain,6.402999878,1.384397864,1.532090902,0.8889606,0.40878123,Europe,2015,58
Spain,6.329,1.23011,1.31379,0.95562,0.45951,Europe,2016,58
Spain,6.354,1.286,0,1.062,0.362,Europe,2017,57
Spain,6.31,1.251,0,0.965,0.449,Europe,2018,58
Spain,6.361,1.34253,1.12945,0.87896,0.37545,Europe,2019,62
Spain,6.400899887,1.230535269,0,1.051343083,0.425983816,Europe,2020,62
Malaysia,6.084000111,1.29121542,1.284646034,0.618784428,0.402264982,Asia,2015,50
Malaysia,5.77,1.12486,1.07023,0.72394,0.53024,Asia,2016,49
Malaysia,5.339,1.221,0,0.828,0.508,Asia,2017,47
Malaysia,6.322,1.161,0,0.669,0.356,Asia,2018,47
Malaysia,6.005,1.25142,0.88025,0.62366,0.39031,Asia,2019,53
Malaysia,5.384300232,1.168421626,0,0.788511872,0.596941531,Asia,2020,51
El Salvador,6.002999783,0.909784496,1.182125092,0.596018553,0.43245253,South America,2015,39
El Salvador,6.13,0.76454,1.02507,0.67737,0.4035,South America,2016,36
El Salvador,6.253,0.794,0,0.789,0.43,South America,2017,33
El Salvador,6.167,0.806,0,0.639,0.461,South America,2018,35
El Salvador,6.068,0.8737,0.80975,0.596,0.37269,South America,2019,34
El Salvador,6.34829998,0.748940408,0,0.752730012,0.524043918,South America,2020,36
Japan,5.920000076,1.416915178,1.436337829,0.913475871,0.505625546,Asia,2015,75
Japan,5.987,1.27074,1.25712,0.99111,0.49615,Asia,2016,72
Japan,5.886,1.327,0,1.088,0.445,Asia,2017,73
Japan,5.915,1.294,0,0.988,0.553,Asia,2018,73
Japan,5.921,1.38007,1.06054,0.91491,0.46761,Asia,2019,73
Japan,5.870800018,1.26672411,0,1.072881341,0.495465875,Asia,2020,74
Turkey,5.5,1.198274374,1.337753177,0.637605608,0.3007406,Asia,2015,42
Turkey,5.332,1.06098,0.94632,0.73172,0.22815,Asia,2016,41
Turkey,5.373,1.183,0,0.808,0.195,Asia,2017,40
Turkey,5.483,1.148,0,0.686,0.324,Asia,2018,41
Turkey,5.389,1.16492,0.87717,0.64718,0.23889,Asia,2019,39
Turkey,5.131800175,1.127169251,0,0.781335294,0.25440076,Asia,2020,40
China,5.272999763,1.081165791,1.160837412,0.741415501,0.472787708,Asia,2015,37
China,5.14,0.89012,0.94675,0.81658,0.51697,Asia,2016,40
China,5.191,1.029,0,0.893,0.521,Asia,2017,41
China,5.246,0.989,0,0.799,0.597,Asia,2018,39
China,5.245,1.0278,0.79381,0.73561,0.44012,Asia,2019,41
China,5.123899937,0.990533412,0,0.867248535,0.601605117,Asia,2020,42
India,4.315000057,0.792221248,0.754372597,0.455427617,0.469987005,Asia,2015,38
India,4.565,0.64499,0.38174,0.51529,0.39786,Asia,2016,40
India,4.015,0.755,0,0.588,0.498,Asia,2017,40
India,4.19,0.721,0,0.485,0.539,Asia,2018,41
India,4.404,0.74036,0.29247,0.45091,0.40285,Asia,2019,41
India,3.573299885,0.730576158,0,0.54057014,0.581142247,Asia,2020,40
Uganda,4.080999851,0.381430715,1.129827738,0.217632607,0.443185955,Africa,2015,25
Uganda,3.931,0.21102,1.13299,0.33861,0.45727,Africa,2016,25
Uganda,4.189,0.332,0,0.443,0.356,Africa,2017,26
Uganda,4.161,0.322,0,0.237,0.45,Africa,2018,26
Uganda,3.739,0.34719,0.90981,0.19625,0.43653,Africa,2019,28
Uganda,4.43200016,0.312337428,0,0.378311664,0.401682556,Africa,2020,27
Zimbabwe,3.875,0.375846535,1.083095908,0.196763754,0.336384207,Africa,2015,21
Zimbabwe,4.61,0.271,1.03276,0.33475,0.25861,Africa,2016,22
Zimbabwe,3.663,0.366,0,0.433,0.361,Africa,2017,22
Zimbabwe,3.692,0.357,0,0.248,0.406,Africa,2018,22
Zimbabwe,4.193,0.35041,0.71478,0.1595,0.25429,Africa,2019,24
Zimbabwe,3.299200058,0.425564021,0,0.375037611,0.37740472,Africa,2020,24
Pakistan,5.269000053,0.726883531,0.67269069,0.402047783,0.235215262,Asia,2015,30
Pakistan,5.194,0.59543,0.41411,0.51466,0.12102,Asia,2016,32
Pakistan,5.653,0.677,0,0.535,0.313,Asia,2017,32
Pakistan,5.472,0.652,0,0.424,0.334,Asia,2018,33
Pakistan,5.132,0.68816,0.26135,0.40306,0.14622,Asia,2019,32
Pakistan,5.69329977,0.616799474,0,0.469933242,0.405421734,Asia,2020,31
Russia,5.962999821,1.281778097,1.469282389,0.547349334,0.373783112,Asia,2015,29
Russia,5.716,1.13764,1.23617,0.66926,0.36679,Asia,2016,29
Russia,5.648,1.183,0,0.726,0.334,Asia,2017,29
Russia,5.81,1.151,0,0.599,0.399,Asia,2018,28
Russia,5.856,1.23228,1.05261,0.58991,0.32682,Asia,2019,28
Russia,5.546000004,1.126999617,0,0.68044591,0.399499595,Asia,2020,30
Italy,5.964000225,1.395066619,1.444923282,0.853144348,0.256450713,Europe,2015,44
Italy,5.948,1.25114,1.19777,0.95446,0.26236,Europe,2016,47
Italy,6.223,1.294,0,1.039,0.231,Europe,2017,50
Italy,6,1.264,0,0.946,0.281,Europe,2018,52
Italy,5.977,1.35495,1.04167,0.85102,0.18827,Europe,2019,53
Italy,6.38740015,1.236396074,0,1.022504926,0.321305573,Europe,2020,53